emp_no,dept_name
10001,Development
10004,Production
10005,Human Resources
10006,Development
10009,Quality Management
10011,Customer Service
10018,Development
10019,Research
10020,Production
10022,Development
10023,Development
10026,Production
10035,Production
10047,Production
10051,Production
10053,Sales
10057,Development
10058,Marketing
10059,Finance
10063,Production
10066,Development
10067,Quality Management
10070,Development
10072,Development
10073,Quality Management
10074,Development
10076,Development
10088,Sales
10091,Development
10096,Production
10097,Research
10100,Human Resources
10101,Sales
10103,Development
10106,Production
10108,Marketing
10116,Development
10126,Customer Service
10127,Development
10129,Development
10130,Production
10131,Production
10134,Production
10138,Quality Management
10149,Sales
10150,Development
10152,Quality Management
10153,Development
10157,Development
10159,Quality Management
10160,Sales
10161,Production
10163,Human Resources
10166,Development
10177,Finance
10183,Customer Service
10186,Finance
10189,Development
10194,Finance
10196,Finance
10198,Development
10203,Research
10205,Production
10207,Development
10215,Sales
10217,Production
10219,Development
10224,Production
10228,Sales
10229,Quality Management
10230,Research
10233,Human Resources
10237,Sales
10239,Marketing
10240,Quality Management
10248,Sales
10249,Development
10258,Development
10262,Sales
10272,Finance
10278,Development
10281,Quality Management
10282,Production
10283,Development
10284,Production
10286,Customer Service
10294,Development
10295,Finance
10298,Production
10302,Sales
10305,Development
10306,Sales
10307,Production
10321,Sales
10322,Development
10325,Human Resources
10326,Research
10327,Development
10328,Development
10333,Development
10340,Marketing
10343,Quality Management
10347,Research
10349,Customer Service
10350,Production
10353,Marketing
10355,Sales
10356,Research
10358,Development
10363,Quality Management
10364,Production
10367,Marketing
10372,Production
10374,Customer Service
10377,Production
10382,Production
10387,Customer Service
10388,Sales
10389,Development
10395,Development
10396,Development
10397,Production
10402,Quality Management
10404,Development
10407,Sales
10413,Human Resources
10414,Development
10418,Marketing
10422,Quality Management
10426,Development
10429,Development
10432,Customer Service
10433,Quality Management
10442,Sales
10443,Development
10451,Production
10453,Customer Service
10463,Sales
10466,Customer Service
10477,Development
10486,Quality Management
10494,Production
10497,Production
10499,Marketing
10503,Production
10504,Sales
10509,Sales
10512,Human Resources
10517,Sales
10519,Development
10522,Human Resources
10529,Production
10531,Human Resources
10538,Development
10541,Sales
10542,Development
10548,Marketing
10552,Production
10564,Production
10568,Sales
10575,Production
10586,Production
10591,Marketing
10593,Development
10596,Sales
10603,Sales
10608,Production
10610,Development
10614,Customer Service
10615,Finance
10617,Customer Service
10623,Research
10624,Production
10628,Development
10629,Sales
10630,Production
10631,Development
10634,Development
10636,Human Resources
10637,Sales
10639,Development
10641,Development
10642,Development
10653,Development
10667,Customer Service
10671,Human Resources
10672,Production
10676,Development
10683,Production
10693,Customer Service
10694,Marketing
10696,Development
10702,Development
10712,Development
10718,Development
10726,Development
10731,Finance
10734,Production
10741,Marketing
10742,Development
10745,Production
10747,Production
10749,Production
10750,Development
10751,Development
10764,Development
10767,Sales
10768,Production
10777,Production
10778,Marketing
10780,Production
10782,Research
10791,Development
10795,Sales
10801,Production
10803,Quality Management
10808,Development
10811,Production
10813,Sales
10814,Sales
10826,Development
10827,Finance
10829,Human Resources
